Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,100uF,C15008
"C10, C11, C12, C14, C15, C5, C6, C7, C8, C9",0805,10,100nF,C49678
"C13, C16",0805,2,1uF,C28323
"C3, C4",0805,2,15pF,C63339
D1,0805,1,LED,C2297
J1,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"R1, R12, R19, R2, R20, R6",0805,6,1k Ohm,C17513
"R10, R11",0805,2,27.4 Ohm,C17561
R13,0805,1,300 Ohm,C17617
"R14, R18, R3, R4, R5, R7, R8, R9",0805,8,1k Ohm,C17513 
"R15, R21",0805,2,5.1k Ohm,C27834
R17,0805,1,10k Ohm,C17414
"SW1, SW10, SW11, SW12, SW13, SW14, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",TS-1088-AR02016,14,SW_Push,C720477
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U4,SOIC127P790X216-8N,1,W25Q128JVS,C97521
USB1,C3039316_USB-SMD_TC-002_1,1,TC-002,C3039316
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,Crystal_GND24,C20625731
