Designator,Mid X,Mid Y,Rotation,Layer
C1,45.0,-8.5,270.0,bottom
C10,34.3584,-15.5379,270.0,bottom
C11,37.3684,-15.5379,270.0,bottom
C12,40.3784,-15.5379,270.0,bottom
C13,23.622422,-8.1627,270.0,bottom
C14,20.4111,-25.2884,270.0,bottom
C15,22.3711,-25.2884,270.0,bottom
C16,24.3711,-25.2884,270.0,bottom
C2,34.5,-8.5,270.0,bottom
C3,33.4641,-26.5122,180.0,bottom
C4,34.3401,-33.9852,90.0,bottom
C5,21.6394,-16.4107,270.0,bottom
C6,43.0784,-15.4979,270.0,bottom
C7,26.272422,-8.1277,270.0,bottom
C8,29.282422,-8.1277,270.0,bottom
C9,32.292422,-8.1277,270.0,bottom
D1,33.422978,-22.2122,0.0,bottom
J1,59.6484,-33.0454,0.0,bottom
R1,55.9308,-26.924,180.0,bottom
R10,8.128,-10.7188,90.0,bottom
R11,6.096,-10.7188,270.0,bottom
R12,32.3401,-33.9852,90.0,bottom
R13,33.422978,-24.4622,180.0,bottom
R14,28.4988,-25.4,0.0,bottom
R15,44.6024,-1.8288,90.0,bottom
R17,36.4998,-27.8638,90.0,bottom
R18,18.3642,-15.0876,0.0,bottom
R19,5.0132,-7.112,0.0,bottom
R2,45.466,-14.6558,90.0,bottom
R20,54.991,-3.4544,270.0,bottom
R21,24.6888,-2.1336,90.0,bottom
R3,55.9468,-24.8666,180.0,bottom
R4,8.6266,-24.9174,180.0,bottom
R5,35.8488,-38.5572,180.0,bottom
R6,46.1264,-29.7782,270.0,bottom
R7,40.9354,-24.9682,0.0,bottom
R8,18.161,-35.4076,180.0,bottom
R9,25.6888,-38.4048,180.0,bottom
SW1,67.906782,-31.332047,90.0,bottom
SW10,65.138182,-31.361983,90.0,bottom
SW11,28.47,-22.5,0.0,bottom
SW12,18.47,-12.5,0.0,bottom
SW13,4.27,-2.7,270.0,bottom
SW14,57.8,-2.7,270.0,bottom
SW2,48.5,-15.0,90.0,bottom
SW3,56.0,-22.5,180.0,bottom
SW4,8.4,-22.5,180.0,bottom
SW5,36.0,-41.7,180.0,bottom
SW6,48.5,-30.0,270.0,bottom
SW7,41.0,-22.5,0.0,bottom
SW8,18.47,-33.0,180.0,bottom
SW9,26.0,-41.7,180.0,bottom
U1,26.7336,-31.9884,0.0,bottom
U3,39.8,-6.5125,90.0,bottom
U4,16.842,-3.175,180.0,bottom
USB1,34.2138,26.852,180.0,bottom
Y1,33.2047,-29.7622,270.0,bottom
