Designator,Mid X,Mid Y,Rotation,Layer
BAT1,30.144946,4.984193,270.0,bottom
C1,8.1426,37.5,0.0,bottom
C2,0.370477,38.0,0.0,bottom
C3,-7.5,37.5,0.0,bottom
D1,5.08,28.8544,180.0,bottom
D2,1.9812,10.8712,90.0,bottom
D3,5.9436,4.318,90.0,bottom
D4,-6.1468,3.2258,90.0,bottom
R1,-6.8326,21.9202,270.0,bottom
R2,10.4902,15.5956,90.0,bottom
R3,7.6708,-8.8138,90.0,bottom
R4,5.2578,-21.3106,90.0,bottom
R5,-5.4102,-18.8468,90.0,bottom
RV1,-21.2852,-28.0162,90.0,bottom
U1,-0.4268,19.177,180.0,bottom
U2,-0.4064,-36.569651,270.0,bottom
